id,domain,priority,fit,opportunity_url,contact_or_pitch_url,contact_hint,pitch_type,specific_angle,recommended_anchor,first_step,status,notes
11,wired.com,P1,high,https://www.wired.com/about/how-to-pitch-stories-to-wired/,https://www.wired.com/about/feedback/,staff pages and SecureDrop for tips,news-tip,"WIRED covers AI photo privacy and data regulation. Pitch the index as a small dataset showing how beauty AI policies disclose retention and training.",AI beauty app privacy disclosures,"Pitch a privacy writer, not the general subscription contact.",ready,"WIRED pitch and feedback pages verified."
12,theverge.com,P1,high,https://www.theverge.com/tech/942122/google-photos-is-about-to-launch-its-ai-generated-digital-wardrobe-full-of-your-clothes,https://www.theverge.com/contact-the-verge,tips@theverge.com,news-tip,"The Verge covers AI try-on and photo-upload features. Offer the beauty privacy index as a concrete example of consumer AI image disclosure gaps.",Virtual Makeup Privacy Index 2026,"Send as a tip with one paragraph and the report link.",ready,"Contact page verified 200; tips route also documented."
13,lexology.com,P1,high,https://www.lexology.com/library/detail.aspx?g=52fbf356-2140-4900-aca3-c150c0249e89,https://www.mishcon.com/news/virtual-try-on-data-protection-compliance-considerations,contact article authors via firm,author-update,"The Lexology/Mishcon virtual try-on compliance article explains consent and retention. The index can serve as a public-disclosure example.",virtual try-on privacy index,"Pitch the original firm authors rather than Lexology central.",ready,"Best route is author or firm site because Lexology republishes legal articles."
14,biometricupdate.com,P1,very-high,https://www.biometricupdate.com/,https://www.biometricupdate.com/about-us/contact-us,news@biometricupdate.com,news-tip,"Biometric Update is highly aligned with facial geometry, biometric consent, and retail AI coverage.",AI beauty biometric disclosure data,"Email news@biometricupdate.com with the dataset angle.",ready,"Official media/contact materials list editorial email."
15,techcrunch.com,P1,medium-high,https://techcrunch.com/2025/07/24/googles-new-ai-feature-lets-you-virtually-try-on-clothes/,https://techcrunch.com/contact-us/,contact form,news-tip,"TechCrunch covers AI try-on and image upload products. Pitch as a consumer AI data-governance angle rather than a beauty app story.",AI photo upload privacy data,"Use contact page; target AI or consumer apps reporter if found.",ready,"Contact page verified 200."
16,fastcompany.com,P2,medium,https://www.fastcompany.com/technology,https://www.fastcompany.com/contact-us,contact form may block automated access,story-pitch,"Frame around trust design: AI shopping features need visible retention, deletion, and training disclosures.",AI beauty privacy index,"Pitch innovation/design editor after first trade placements.",manual-review,"Contact URL returned 403 in automated check."
17,technologyreview.com,P2,high,https://www.technologyreview.com/,https://www.technologyreview.com/contact-us/,Rachel.Courtland@technologyreview.com for pitches,story-pitch,"MIT Technology Review may fit if framed as consumer AI systems collecting face or body images and the weakness of public disclosures.",virtual try-on privacy disclosures,"Pitch only with a broader trend hook, not a product update.",ready,"Contact page verified; market guide lists pitch route."
18,arstechnica.com,P2,medium-high,https://arstechnica.com/news-tips/,https://arstechnica.com/contact-us/,contact form or reporter format,news-tip,"Ars may cover AI image privacy if tied to policy contradiction, FTC angle, or biometric law.",AI image app privacy disclosures,"Use contact form with concise evidence and CSV link only if asked.",ready,"Contact and news-tip pages verified."
19,zdnet.com,P2,medium,https://www.zdnet.com/,https://www.zdnet.com/,editor lookup required,article-update,"ZDNET can use this as a service-journalism angle for choosing AI image or makeup apps with better privacy disclosures.",AI app privacy checklist,"Find relevant software or security editor before sending.",needs-author-lookup,"Generic contact page not verified."
20,cnet.com,P2,medium,https://www.cnet.com/tech/services-and-software/,https://www.cnet.com/,editor lookup required,article-update,"CNET software guides can add a privacy box for AI photo upload and virtual try-on tools.",virtual makeup privacy index,"Find current software editor or updates desk.",needs-author-lookup,"Generic contact page not verified."
21,pcmag.com,P2,medium,https://www.pcmag.com/,https://www.pcmag.com/about/contact,review team route,article-update,"PCMag review pages can use the index as a privacy-disclosure criterion for AI photo or beauty tools.",AI beauty privacy disclosures,"Find reviews editor or analyst before sending.",needs-author-lookup,"Generic contact URL not verified during automated check."
22,venturebeat.com,P2,medium-high,https://venturebeat.com/ai/,https://venturebeat.com/contact-2,tips@venturebeat.com,news-tip,"VentureBeat AI coverage may fit a governance story on consumer image tools and training disclosures.",consumer AI image privacy data,"Email tips@venturebeat.com and consider AI reporter route.",ready,"Official contact page lists tips@venturebeat.com."
23,privacyinternational.org,P2,medium-high,https://privacyinternational.org/examples-abuse,https://privacyinternational.org/about,info@privacyinternational.org,resource-tip,"Privacy International may use the dataset as an example of face-data transparency issues in consumer AI.",virtual try-on privacy disclosures,"Send as a resource tip, not a backlink request.",ready,"About and charity registry list contact routes."
24,natlawreview.com,P2,high,https://natlawreview.com/article/biometric-privacy-class-actions-take-aim-virtual-try-retailers,https://natlawreview.com/contact-us,info@natlawreview.com,author-update,"NatLawReview already hosts virtual try-on BIPA analysis. The index can be a factual reference for transparency and retention policy examples.",virtual try-on privacy index,"Pitch article update or author follow-up.",ready,"Contact page verified 200."
25,insideprivacy.com,P2,high,https://www.insideprivacy.com/,https://www.insideprivacy.com/contact/,contact form,author-update,"Inside Privacy covers data privacy and AI risk. Pitch the index as a concrete consumer AI disclosure example for future privacy roundups.",AI beauty privacy disclosure index,"Use Inside Privacy contact form or relevant Covington author.",ready,"Correct contact path is /contact/ not /contact-us/."
26,shopify.com,P2,medium-high,https://www.shopify.com/enterprise/blog/virtual-fitting-rooms,https://www.shopify.com/enterprise/blog/virtual-fitting-rooms,article update route via Shopify editorial,article-update,"Shopify's virtual fitting room guide discusses implementation. The index can support a merchant trust and privacy due-diligence note.",virtual try-on privacy checklist,"Pitch as a suggested citation for merchant trust implementation.",needs-author-lookup,"Strong page fit, but editorial contact route needs manual lookup."
27,bigcommerce.com,P2,medium,https://www.bigcommerce.com/blog/,https://www.bigcommerce.com/blog/,content team lookup required,article-update,"BigCommerce ecommerce resources can use the index in future AI commerce or virtual try-on content.",AI commerce privacy checklist,"Find content marketing editor before sending.",needs-author-lookup,"Keep in batch only after higher-fit media sends."
28,shotkit.com,P2,medium-high,https://shotkit.com/how-ai-is-revolutionising-photo-editing/,https://shotkit.com/contact/,contact form,article-update,"Shotkit covers AI photo editing tools. Pitch privacy and retention disclosures as a buyer criterion for AI image tools.",AI photo privacy index,"Use contact form with review-update angle.",ready,"Contact page verified 200."
29,petapixel.com,P2,medium-high,https://petapixel.com/about/,https://petapixel.com/about/,staff and tip route on about page,news-tip,"PetaPixel covers photography and AI image tools. Pitch as a consumer image-data privacy story with beauty AI as the concrete example.",AI image privacy disclosures,"Route to technology news editor or contact link from about page.",ready,"About page lists staff and contact prompt; automated contact page returned 403."
30,thefashionlaw.com,P2,high,https://www.thefashionlaw.com/estee-lauder-beats-bipa-lawsuit-over-virtual-try-on-tools/,https://www.thefashionlaw.com/contact/,contact form or author route,author-update,"The Fashion Law has already covered cosmetics virtual try-on BIPA cases. The index can support a follow-up on disclosure standards after MAC and Shiseido litigation.",virtual try-on privacy index,"Pitch author update after page redesign is live.",ready,"Added as replacement for CosmeticsDesign because CosmeticsDesign was reported shuttered in April 2026."
